Computer ID,System Type,RAM Usage (%),CPU Usage (%),Disk Usage (%),Network Status,MissingPatchsKB,affected microsoft product ,Plateforme,Type of security risk,Severity,Download,Download (Link),CVE identifier(s)
CMP-0001,Workstation,50.9,35.6,60.8,Online,Release Notes,Microsoft Edge (Chromium-based),Unknown Platform,Unknown,Unknown,Security Update,Unknown,CVE-2025-8011
CMP-0002,Workstation,54.6,68.2,77.9,Online,Release Notes,Microsoft Edge (Chromium-based),Unknown Platform,Unknown,Unknown,Security Update,Unknown,CVE-2025-8010
CMP-0003,Workstation,55.5,66.1,72.8,Online,5002768,Microsoft SharePoint Server Subscription Edition,Unknown Platform,Spoofing,Important,Security Update,https://www.microsoft.com/en-us/download/details.aspx?id=108285,CVE-2025-53771
CMP-0004,Workstation,63.5,36.3,51.6,Unstable,5002754,Microsoft SharePoint Server 2019,Unknown Platform,Spoofing,Important,Security Update,https://www.microsoft.com/en-us/download/details.aspx?id=108286,CVE-2025-53771
CMP-0005,Workstation,31.4,42.7,82.4,Unstable,5002753,Microsoft SharePoint Server 2019,Unknown Platform,Spoofing,Important,Security Update,https://www.microsoft.com/en-us/download/details.aspx?id=108287,CVE-2025-53771
CMP-0006,Workstation,65.8,21.7,72.8,Offline,5002760,Microsoft SharePoint Enterprise Server 2016,Unknown Platform,Spoofing,Important,Security Update,https://www.microsoft.com/en-us/download/details.aspx?id=108288,CVE-2025-53771
CMP-0007,Workstation,47.8,31.6,42.2,Online,5002759,Microsoft SharePoint Enterprise Server 2016,Unknown Platform,Spoofing,Important,Security Update,https://www.microsoft.com/en-us/download/details.aspx?id=108289,CVE-2025-53771
CMP-0008,Workstation,57.9,39.1,50.7,Online,5002768,Microsoft SharePoint Server Subscription Edition,Unknown Platform,Remote Code Execution,Critical,Security Update,https://www.microsoft.com/en-us/download/details.aspx?id=108285,CVE-2025-53770
CMP-0009,Workstation,78.7,24.9,69.6,Online,5002754,Microsoft SharePoint Server 2019,Unknown Platform,Remote Code Execution,Critical,Security Update,https://www.microsoft.com/en-us/download/details.aspx?id=108286,CVE-2025-53770
CMP-0010,Workstation,47.1,37.7,59.0,Offline,5002753,Microsoft SharePoint Server 2019,Unknown Platform,Remote Code Execution,Critical,Security Update,https://www.microsoft.com/en-us/download/details.aspx?id=108287,CVE-2025-53770
CMP-0011,Workstation,36.8,24.4,59.0,Online,5002760,Microsoft SharePoint Enterprise Server 2016,Unknown Platform,Remote Code Execution,Critical,Security Update,https://www.microsoft.com/en-us/download/details.aspx?id=108288,CVE-2025-53770
CMP-0012,Workstation,53.9,33.2,79.5,Online,5002759,Microsoft SharePoint Enterprise Server 2016,Unknown Platform,Remote Code Execution,Critical,Security Update,https://www.microsoft.com/en-us/download/details.aspx?id=108289,CVE-2025-53770
CMP-0013,Workstation,46.6,54.2,44.7,Online,Release Notes,Microsoft Purview,Unknown Platform,Elevation of Privilege,Critical,Unknown,Unknown,CVE-2025-53762
CMP-0014,Workstation,34.6,45.9,84.9,Online,Release Notes,Azure DevOps,Unknown Platform,Elevation of Privilege,Critical,Unknown,Unknown,CVE-2025-47158
CMP-0015,Workstation,45.3,20.9,40.3,Unstable,Release Notes,Azure Machine Learning,Unknown Platform,Elevation of Privilege,Critical,Unknown,Unknown,CVE-2025-47995
CMP-0016,Workstation,36.2,24.6,50.3,Online,Release Notes,Azure Machine Learning,Unknown Platform,Elevation of Privilege,Critical,Unknown,Unknown,CVE-2025-49746
CMP-0017,Workstation,69.9,67.7,51.7,Online,Release Notes,Azure Machine Learning,Unknown Platform,Elevation of Privilege,Critical,Unknown,Unknown,CVE-2025-49747
CMP-0018,Workstation,60.8,49.3,40.1,Unstable,Release Notes,Microsoft Edge (Chromium-based),Unknown Platform,Unknown,Unknown,Security Update,Unknown,CVE-2025-7657
CMP-0019,Workstation,75.7,40.9,41.4,Unstable,Release Notes,Microsoft Edge (Chromium-based),Unknown Platform,Unknown,Unknown,Security Update,Unknown,CVE-2025-6558
CMP-0020,Workstation,75.2,45.9,69.2,Online,Release Notes,Microsoft Edge (Chromium-based),Unknown Platform,Unknown,Unknown,Security Update,Unknown,CVE-2025-7656
CMP-0021,Workstation,33.2,46.0,74.0,Online,5062560,Windows Server 2016 (Server Core installation),Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062560,CVE-2024-36357
CMP-0022,Workstation,37.8,63.4,76.1,Unstable,5062560,Windows Server 2016,Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062560,CVE-2024-36357
CMP-0023,Workstation,72.6,41.7,61.8,Offline,5062560,Windows 10 Version 1607 for x64-based Systems,Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062560,CVE-2024-36357
CMP-0024,Workstation,70.0,28.6,51.1,Online,5062560,Windows 10 Version 1607 for 32-bit Systems,Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062560,CVE-2024-36357
CMP-0025,Workstation,71.7,56.5,58.3,Online,5062553,Windows Server 2025,Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062553,CVE-2024-36357
CMP-0026,Workstation,52.9,18.1,86.6,Unstable,5062553,Windows 11 Version 24H2 for x64-based Systems,Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062553,CVE-2024-36357
CMP-0027,Workstation,76.1,29.8,88.8,Online,5062570,"Windows Server 2022, 23H2 Edition (Server Core installation)",Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062570,CVE-2024-36357
CMP-0028,Workstation,79.1,40.0,42.7,Online,5062552,Windows 11 Version 23H2 for x64-based Systems,Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062552,CVE-2024-36357
CMP-0029,Workstation,78.2,25.4,41.0,Online,5062553,Windows Server 2025 (Server Core installation),Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062553,CVE-2024-36357
CMP-0030,Workstation,34.7,60.2,77.8,Online,5062554,Windows 10 Version 22H2 for 32-bit Systems,Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2024-36357
CMP-0031,Workstation,55.0,45.8,83.9,Online,5062554,Windows 10 Version 22H2 for x64-based Systems,Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2024-36357
CMP-0032,Workstation,47.0,67.8,60.3,Online,5062552,Windows 11 Version 22H2 for x64-based Systems,Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062552,CVE-2024-36357
CMP-0033,Workstation,62.3,30.6,72.4,Online,5062554,Windows 10 Version 21H2 for x64-based Systems,Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2024-36357
CMP-0034,Workstation,45.9,34.8,82.3,Online,5062554,Windows 10 Version 21H2 for 32-bit Systems,Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2024-36357
CMP-0035,Workstation,74.0,58.1,88.5,Online,5062572,Windows Server 2022 (Server Core installation),Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062572,CVE-2024-36357
CMP-0036,Workstation,49.9,61.4,41.2,Online,5062572,Windows Server 2022,Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062572,CVE-2024-36357
CMP-0037,Workstation,78.1,62.5,58.2,Offline,5062557,Windows Server 2019 (Server Core installation),Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062557,CVE-2024-36357
CMP-0038,Workstation,55.8,58.5,57.7,Online,5062557,Windows Server 2019,Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062557,CVE-2024-36357
CMP-0039,Workstation,60.9,66.1,59.2,Unstable,5062557,Windows 10 Version 1809 for x64-based Systems,Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062557,CVE-2024-36357
CMP-0040,Workstation,79.6,58.5,41.7,Unstable,5062557,Windows 10 Version 1809 for 32-bit Systems,Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062557,CVE-2024-36357
CMP-0041,Workstation,69.0,70.0,71.7,Online,5062560,Windows Server 2016 (Server Core installation),Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062560,CVE-2024-36350
CMP-0042,Workstation,75.6,53.1,87.0,Online,5062560,Windows Server 2016,Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062560,CVE-2024-36350
CMP-0043,Workstation,33.4,52.4,82.0,Online,5062560,Windows 10 Version 1607 for x64-based Systems,Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062560,CVE-2024-36350
CMP-0044,Workstation,38.8,23.2,86.7,Online,5062560,Windows 10 Version 1607 for 32-bit Systems,Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062560,CVE-2024-36350
CMP-0045,Workstation,77.8,19.4,42.9,Online,5062553,Windows Server 2025,Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062553,CVE-2024-36350
CMP-0046,Workstation,40.0,37.1,66.7,Online,5062553,Windows 11 Version 24H2 for x64-based Systems,Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062553,CVE-2024-36350
CMP-0047,Workstation,50.0,30.0,69.5,Online,5062570,"Windows Server 2022, 23H2 Edition (Server Core installation)",Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062570,CVE-2024-36350
CMP-0048,Workstation,43.3,34.6,66.0,Online,5062552,Windows 11 Version 23H2 for x64-based Systems,Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062552,CVE-2024-36350
CMP-0049,Workstation,62.1,44.7,86.8,Unstable,5062553,Windows Server 2025 (Server Core installation),Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062553,CVE-2024-36350
CMP-0050,Workstation,47.1,38.5,70.3,Online,5062554,Windows 10 Version 22H2 for 32-bit Systems,Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2024-36350
CMP-0051,Workstation,50.2,48.8,50.4,Online,5062554,Windows 10 Version 22H2 for x64-based Systems,Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2024-36350
CMP-0052,Workstation,73.1,19.4,84.3,Offline,5062552,Windows 11 Version 22H2 for x64-based Systems,Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062552,CVE-2024-36350
CMP-0053,Workstation,47.3,33.0,45.8,Offline,5062554,Windows 10 Version 21H2 for x64-based Systems,Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2024-36350
CMP-0054,Workstation,61.9,52.8,86.4,Online,5062554,Windows 10 Version 21H2 for 32-bit Systems,Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2024-36350
CMP-0055,Workstation,51.9,26.1,85.1,Online,5062572,Windows Server 2022 (Server Core installation),Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062572,CVE-2024-36350
CMP-0056,Workstation,65.9,14.2,63.9,Online,5062572,Windows Server 2022,Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062572,CVE-2024-36350
CMP-0057,Workstation,61.8,47.9,60.7,Online,5062557,Windows Server 2019 (Server Core installation),Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062557,CVE-2024-36350
CMP-0058,Workstation,54.0,51.8,53.5,Online,5062557,Windows Server 2019,Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062557,CVE-2024-36350
CMP-0059,Workstation,61.4,22.5,85.4,Online,5062557,Windows 10 Version 1809 for x64-based Systems,Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062557,CVE-2024-36350
CMP-0060,Workstation,38.9,67.6,64.4,Online,5062557,Windows 10 Version 1809 for 32-bit Systems,Unknown Platform,Information Disclosure,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062557,CVE-2024-36350
CMP-0061,Workstation,32.2,34.8,43.1,Online,5002742,Microsoft Word 2016 (32-bit edition),Unknown Platform,Remote Code Execution,Important,Security Update,https://www.microsoft.com/en-us/download/details.aspx?id=108252,CVE-2025-49700
CMP-0062,Workstation,34.5,20.1,58.0,Online,5002655,Microsoft Word 2016 (32-bit edition),Unknown Platform,Remote Code Execution,Important,Security Update,https://www.microsoft.com/en-us/download/details.aspx?id=108253,CVE-2025-49700
CMP-0063,Workstation,49.5,65.4,42.7,Online,5060531,Windows Server 2019,Unknown Platform,Remote Code Execution,Critical,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5060531,CVE-2025-49735
CMP-0064,Workstation,75.6,42.8,58.9,Online,Release Notes,Microsoft Teams for Desktop,Unknown Platform,Elevation of Privilege,Important,Security Update,https://docs.microsoft.com/en-us/microsoftteams/teams-client-update,CVE-2025-49731
CMP-0065,Workstation,52.4,58.0,48.2,Online,5062553,Windows Server 2025,Unknown Platform,Tampering,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062553,CVE-2025-49723
CMP-0066,Workstation,58.3,26.3,46.3,Online,5062553,Windows 11 Version 24H2 for x64-based Systems,Unknown Platform,Tampering,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062553,CVE-2025-49723
CMP-0067,Workstation,50.8,59.6,87.2,Online,5062553,Windows 11 Version 24H2 for ARM64-based Systems,Unknown Platform,Tampering,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062553,CVE-2025-49723
CMP-0068,Workstation,41.4,34.7,48.4,Online,5062570,"Windows Server 2022, 23H2 Edition (Server Core installation)",Unknown Platform,Tampering,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062570,CVE-2025-49723
CMP-0069,Workstation,36.8,29.9,51.5,Online,5062552,Windows 11 Version 23H2 for x64-based Systems,Unknown Platform,Tampering,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062552,CVE-2025-49723
CMP-0070,Workstation,69.5,37.5,88.4,Online,5062557,Windows Server 2019,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062557,CVE-2025-47991
CMP-0071,Workstation,53.0,24.0,63.7,Online,5062557,Windows 10 Version 1809 for x64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062557,CVE-2025-47991
CMP-0072,Workstation,70.2,10.0,82.3,Online,5062557,Windows 10 Version 1809 for 32-bit Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062557,CVE-2025-47991
CMP-0073,Workstation,55.7,47.1,83.6,Online,5062553,Windows Server 2025,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062553,CVE-2025-49694
CMP-0074,Workstation,70.4,66.5,77.9,Offline,5062572,Windows Server 2022 (Server Core installation),Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062572,CVE-2025-49689
CMP-0075,Workstation,39.7,25.2,84.1,Offline,5062572,Windows Server 2022,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062572,CVE-2025-49689
CMP-0076,Workstation,45.1,11.4,66.3,Online,5062554,Windows 10 Version 22H2 for 32-bit Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2025-49725
CMP-0077,Workstation,46.2,21.8,80.5,Online,5062560,Windows 10 Version 1607 for 32-bit Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062560,CVE-2025-47972
CMP-0078,Workstation,46.5,61.8,89.6,Online,5062561,Windows 10 for x64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062561,CVE-2025-47972
CMP-0079,Workstation,51.3,60.2,46.7,Offline,5062561,Windows 10 for 32-bit Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062561,CVE-2025-47972
CMP-0080,Workstation,50.4,52.8,54.0,Online,5062554,Windows 10 Version 22H2 for ARM64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2025-49725
CMP-0081,Workstation,37.7,52.6,89.7,Online,5062554,Windows 10 Version 22H2 for x64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2025-49725
CMP-0082,Workstation,33.6,16.8,54.6,Online,5062552,Windows 11 Version 22H2 for x64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062552,CVE-2025-49725
CMP-0083,Workstation,51.5,26.2,86.4,Online,5062552,Windows 11 Version 22H2 for ARM64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062552,CVE-2025-49725
CMP-0084,Workstation,72.4,34.1,85.1,Online,5062554,Windows 10 Version 21H2 for x64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2025-49725
CMP-0085,Workstation,33.6,54.4,69.3,Online,5062554,Windows 10 Version 21H2 for ARM64-based Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2025-49725
CMP-0086,Workstation,37.7,38.9,56.1,Online,5062554,Windows 10 Version 21H2 for 32-bit Systems,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062554,CVE-2025-49725
CMP-0087,Workstation,54.9,53.7,78.3,Online,5062572,Windows Server 2022 (Server Core installation),Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062572,CVE-2025-49725
CMP-0088,Workstation,60.8,68.2,45.1,Online,5062572,Windows Server 2022,Unknown Platform,Elevation of Privilege,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062572,CVE-2025-49725
CMP-0089,Workstation,45.0,17.1,55.3,Online,5062552,Windows 11 Version 22H2 for x64-based Systems,Unknown Platform,Remote Code Execution,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062552,CVE-2025-49724
CMP-0090,Workstation,62.6,69.7,62.5,Online,5062552,Windows 11 Version 22H2 for ARM64-based Systems,Unknown Platform,Remote Code Execution,Important,Security Update,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062552,CVE-2025-49724
CMP-0091,Workstation,45.2,65.5,59.9,Unstable,5062632,Windows Server 2008 R2 for x64-based Systems Service Pack 1,Unknown Platform,Denial of Service,Important,Monthly Rollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062632,CVE-2025-49722
CMP-0092,Workstation,51.4,51.1,49.8,Online,5062619,Windows Server 2008 R2 for x64-based Systems Service Pack 1,Unknown Platform,Denial of Service,Important,Security Only,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062619,CVE-2025-49722
CMP-0093,Workstation,31.6,49.8,79.8,Unstable,5062624,Windows Server 2008 for x64-based Systems Service Pack 2 (Server Core installation),Unknown Platform,Denial of Service,Important,Monthly Rollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062624,CVE-2025-49722
CMP-0094,Workstation,32.9,16.3,41.3,Online,5062618,Windows Server 2008 for x64-based Systems Service Pack 2 (Server Core installation),Unknown Platform,Denial of Service,Important,Security Only,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062618,CVE-2025-49722
CMP-0095,Workstation,45.3,49.2,47.6,Online,5062624,Windows Server 2008 for x64-based Systems Service Pack 2,Unknown Platform,Denial of Service,Important,Monthly Rollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062624,CVE-2025-49722
CMP-0096,Workstation,41.8,59.7,56.8,Online,5062618,Windows Server 2008 for x64-based Systems Service Pack 2,Unknown Platform,Denial of Service,Important,Security Only,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062618,CVE-2025-49722
CMP-0097,Workstation,78.4,49.0,51.2,Online,5062624,Windows Server 2008 for 32-bit Systems Service Pack 2 (Server Core installation),Unknown Platform,Denial of Service,Important,Monthly Rollup,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB5062624,CVE-2025-49722
